id,sector,Ground,Q13A,Q13B,Q13C,Q13D,Q13E,Q13F,Q13G,Q13H,Q13I,Q13J,Q13K,Q13L,Q13M,Q13_A14,Q13_A15,Q13_A16
1a,CD,1,4,3,3,3,3,4,3,4,4,4,4,4,4,4,4,5
2a,EC,1,4,3,5,5,4,4,5,4,4,4,5,2,3,4,4,4
3a,EC,1,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4
4a,CD,1,5,5,5,4,4,3,3,4,5,3,4,3,5,5,3,4
5a,CD,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
6a,EC,1,4,4,4,4,3,4,5,4,4,4,4,1,3,3,4,3
7a,CD,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
8a,ER,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9a,ER,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
10a,ER,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
11a,CD,1,5,4,4,4,3,4,4,4,4,4,5,4,5,4,5,4
12a,FC,1,5,9,9,9,4,9,9,9,5,4,9,3,4,5,5,5
13a,EC,1,5,5,5,5,3,2,4,5,5,2,3,3,5,2,5,5
14a,CD,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
15a,CD,1,9,5,5,5,5,5,5,5,5,5,5,5,5,9,5,5
16a,CD,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
17a,ER,1,5,3,5,5,4,4,4,5,5,5,5,4,4,5,5,4
18a,ER,1,5,4,5,4,2,3,3,5,5,5,5,3,5,5,5,4
19a,CD,1,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3
20a,CD,1,4,4,4,3,3,3,3,4,3,4,3,3,3,3,4,4
21a,CD,1,5,4,5,5,5,3,3,5,3,5,5,3,3,3,5,5
22a,ER,1,5,4,4,3,3,3,3,5,3,5,4,4,3,4,4,4
23a,ER,1,4,3,5,3,3,5,5,4,4,4,5,4,4,2,5,4
24a,ER,1,4,3,4,4,3,3,4,4,4,5,5,3,4,4,5,4
25a,ER,1,9,9,9,9,9,9,9,9,4,4,9,9,9,9,9,9
26a,CD,1,5,5,4,4,4,3,3,4,4,5,4,4,4,4,4,3
27a,CD,1,5,5,5,5,5,3,3,4,5,5,4,5,5,5,5,3
28a,ER,1,5,3,3,3,3,3,4,4,3,5,4,3,3,4,4,3
29a,ER,1,5,4,3,3,3,4,3,4,4,4,4,3,4,4,5,5
30a,ER,1,5,5,5,3,4,3,3,4,4,5,3,5,3,3,4,5
31a,ER,1,4,4,4,4,4,3,3,5,3,5,5,2,4,3,5,4
32a,CD,1,5,4,4,4,3,3,3,5,4,5,4,3,3,5,3,4
33a,ER,1,5,3,4,4,3,3,4,4,4,4,4,4,2,5,5,5
34a,CD,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
35a,ER,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
36a,CD,1,4,5,4,5,4,3,3,4,4,4,4,4,5,4,4,4
37a,ER,1,5,4,4,5,4,4,4,5,4,4,4,4,5,4,5,4
38a,ER,1,2,3,2,3,2,2,2,2,3,2,3,2,2,2,2,2
39a,CD,1,5,4,4,4,4,3,4,4,4,5,4,4,3,5,4,4
40a,EC,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
41a,ER,1,4,4,4,4,4,4,4,4,4,4,4,9,9,4,4,4
42a,ER,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
43a,CD,1,5,5,5,4,4,5,3,4,5,4,5,4,4,4,5,4
44a,ER,1,4,5,5,4,3,5,9,5,4,5,5,2,5,5,5,5
45a,EC,1,5,4,5,5,5,5,5,5,4,9,9,9,9,5,5,5
46a,T,1,5,9,5,5,9,9,9,9,9,5,9,5,9,5,5,9
47a,CD,1,5,5,4,4,4,5,4,5,2,4,5,4,4,5,5,1
48a,CD,1,4,4,4,4,4,4,4,4,4,4,4,5,1,3,5,5
49a,CD,1,4,5,5,4,3,4,3,4,3,5,4,3,4,3,4,3
50a,ER,1,4,4,4,4,3,5,5,4,5,3,5,3,4,4,4,4
51a,FC,1,5,4,3,3,3,3,3,3,5,4,4,3,5,3,5,5
52a,CD,1,5,4,5,4,4,5,5,5,4,5,4,4,5,4,4,4
53a,CD,1,4,4,4,4,3,3,3,4,2,4,4,3,3,4,4,4
54a,ER,1,3,4,4,4,3,3,3,4,3,5,4,3,4,3,2,2
55a,ER,1,4,3,5,5,3,3,3,4,4,4,5,3,2,4,4,5
56a,ER,1,5,3,4,3,3,3,3,5,5,3,3,3,3,4,5,3
57a,ER,1,4,4,4,3,3,3,5,3,3,5,5,3,4,3,4,4
58a,CD,1,4,4,4,4,3,3,5,4,3,4,4,3,5,5,5,5
59a,CD,1,4,2,4,4,3,4,3,4,4,4,4,3,3,4,5,5
60a,ER,1,2,4,4,4,3,3,3,3,4,4,3,2,4,2,3,2
61a,FC,1,9,5,5,9,9,9,9,9,9,9,9,9,9,9,9,4
62a,ER,1,4,5,4,4,4,3,3,4,4,4,4,3,3,4,4,4
63a,ER,1,4,4,4,4,3,3,3,4,4,4,4,4,4,4,5,4
64a,CD,1,4,4,5,5,3,3,3,4,4,5,5,3,4,4,5,4
65a,CD,1,4,3,2,4,3,3,3,3,3,4,4,3,5,3,4,4
66a,ER,1,5,3,5,3,5,3,3,5,5,4,4,5,5,5,5,4
67a,FC,1,4,5,4,4,3,3,2,3,4,4,3,4,3,3,5,5
68a,CD,1,5,4,2,5,3,9,9,4,3,4,4,2,2,5,5,5
69a,FC,1,9,9,9,9,9,9,9,9,9,4,9,9,9,9,9,9
70a,CD,1,3,5,5,5,3,3,5,3,5,5,5,3,3,5,5,3
71a,FC,1,2,5,4,4,3,3,3,3,3,4,3,3,2,4,4,2
72a,CD,1,4,5,5,3,4,2,3,4,5,4,4,5,3,4,4,4
73a,ER,1,3,5,5,5,4,3,5,4,5,5,4,3,4,5,3,1
74a,ER,1,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3
75a,FC,1,5,4,4,3,2,5,4,4,2,4,4,2,5,4,5,2
76a,FC,1,4,4,5,5,5,3,3,5,5,4,5,4,3,5,5,3
77a,CD,1,5,5,4,4,3,3,3,5,5,5,5,4,4,4,4,4
78a,CD,1,5,5,4,4,3,4,3,4,4,4,5,1,3,5,5,4
79a,ER,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
80a,ER,1,5,4,5,4,4,4,3,4,4,5,5,3,4,5,5,4
81a,CD,1,5,3,4,4,4,3,4,4,4,5,5,3,4,5,4,3
82a,CD,1,4,2,3,3,3,3,3,4,3,4,4,5,4,2,4,3
83a,CD,1,3,3,4,3,3,3,4,3,5,4,4,4,3,3,3,3
84a,CD,1,5,2,4,4,1,4,4,4,2,4,4,1,2,2,4,5
85a,CD,1,5,4,4,5,4,5,4,5,5,5,4,3,3,4,2,2
